STATUS,PHASE,,,,,NET,STA,Loc/Cha,TimeRes(s),Dist(km),Az(degrees),Time(UTC),+- (s)',,,,,,
M,Pg,1.24,,positive,144.3,ON,HUMLI,00.HHZ,-0.03,1.03,284,02:55:25.91,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.43,,,144.3,ON,HUMLI,00.HHT,-0.22,1.03,284,02:55:26.38,0.05s,,,,,07:29:59.5,04:34:33\
M,Pg,1.6,,positive,129.4,2C,THJ07,EHZ,0,1.78,345,02:55:26.09,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.49,,,129.8,2C,THJ07,EHT,-0.24,1.78,345,02:55:26.58,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.48,,positive,126.3,2C,JAK25,EHZ,-0.02,1.89,120,02:55:26.13,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.5,,,126.7,2C,JAK25,EHT,-0.29,1.89,120,02:55:26.64,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.6,,positive,113.1,2C,REY09,HHZ,0,2.7,178,02:55:26.32,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.49,,,112.1,2C,REY09,HHT,-0.23,2.7,178,02:55:27.02,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.61,,positive,109.5,2C,OHO23,EHZ,0,2.91,151,02:55:26.35,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.42,,,108.1,2C,OHO23,EHT,-0.33,2.91,151,02:55:27.04,0.05s,,,,,07:29:59.5,04:34:32\
M,Pg,1.58,,positive,107.9,2C,SKA10,HHZ,0.01,3.06,93,02:55:26.36,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.48,,,105.9,2C,SKA10,HHT,-0.32,3.06,93,02:55:27.03,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.61,,negative,105.1,ON,INNST,00.HHZ,0,3.33,48,02:55:26.38,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.56,,,102,ON,INNST,00.HHT,-0.25,3.33,48,02:55:27.12,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.16,,positive,97.4,ON,SVIN,00.HHZ,0.04,3.67,282,02:55:26.48,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.38,,,93.4,ON,SVIN,00.HHT,-0.21,3.67,282,02:55:27.32,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.58,,positive,98.4,SI,EDA,00.HHZ,0.01,3.8,350,02:55:26.45,0.0125s,,,,,07:29:59.5,04:34:33\
M,Pg,1.6,,positive,94.4,ON,LSKAR,00.HHZ,0,4.13,113,02:55:26.52,0.0125s,,,,,07:29:59.5,04:34:33\
M,Sg,0.57,,,87.7,ON,LSKAR,00.HHT,-0.29,4.13,113,02:55:27.36,0.025s,,,,,07:29:59.5,04:34:32\
M,Pg,1.15,,positive,88.9,2C,LAK24,EHZ,-0.04,4.52,185,02:55:26.55,0.0125s,,,,,07:43:34.9,04:48:08\
M,Pg,1.09,,positive,85.6,ON,HVH,00.HHZ,0.04,4.82,155,02:55:26.75,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.11,,,75.9,ON,HVH,00.HHT,-0.43,4.82,155,02:55:27.60,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.34,,positive,82.4,2C,URD20,EHZ,0.03,5.03,136,02:55:26.76,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.49,,,,2C,URD20,EHT,-0.3,5.03,136,02:55:27.80,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.34,,negative,80.3,2C,GAN02,HHZ,0.03,5.13,3,02:55:26.71,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.58,,,,2C,GAN02,HHT,-0.28,5.13,3,02:55:27.65,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,1.6,,positive,76.1,2C,VAL41,00.HHZ,0,5.61,307,02:55:26.81,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.43,,,,2C,VAL41,00.HHT,-0.22,5.61,307,02:55:27.93,0.05s,,,,,07:43:34.9,04:48:07\
M,Pg,1.07,,negative,70.4,2C,OLK26,EHZ,0.04,6.15,75,02:55:26.91,0.0125s,,,,,07:43:34.9,04:48:08\
M,Sg,0.51,,,,2C,OLK26,EHT,-0.26,6.15,75,02:55:27.97,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.6,,positive,65.8,ON,KRIST,00.HHZ,0,6.7,245,02:55:27.13,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.47,,negative,63.7,ON,KOLDU,00.HHZ,0.01,6.96,48,02:55:27.04,0.025s,,,,,07:43:34.9,04:48:07\
M,Sg,0.4,,,,ON,KOLDU,00.HHT,-0.34,6.96,48,02:55:28.21,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.58,,positive,102.4,2C,MEI05,HHZ,-0.01,7.39,197,02:55:27.11,0.0125s,,,,,07:43:34.9,04:48:07\
M,Sg,0.43,,,,2C,MEI05,HHT,-0.33,7.39,197,02:55:28.38,0.05s,,,,,07:43:34.9,04:48:06\
M,Pg,1.36,,negative,61.1,ON,SKEGG,00.HHZ,-0.02,7.6,30,02:55:27.16,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,1.29,,positive,59.4,2C,NUP27,EHZ,0.03,8.09,130,02:55:27.33,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.49,,positive,56.7,2C,THU04,HHZ,-0.02,9.36,137,02:55:27.51,0.0125s,,,,,07:43:34.9,04:48:07\
M,Pg,1.17,,negative,53.5,2C,KAT03,HHZ,-0.04,10.82,72,02:55:27.69,0.025s,,,,,07:43:34.9,04:48:07\
M,Pg,0,,negative,50,SI,KRO,00.HHZ,-0.02,13.69,66,02:55:28.16,0.025s,,,,,07:43:34.9,04:48:06\
M,Sg,0,,,45.4,SI,KRO,00.HHT,-0.37,13.69,66,02:55:30.27,0.1s,,,,,07:43:34.9,04:48:04\
M,Pg,1.4,,negative,49.9,2C,OLF42,00.HHZ,-0.02,13.77,56,02:55:28.20,0.025s,,,,,07:43:34.9,04:48:06\
M,Pg,0.65,,negative,47.6,SI,HEI,00.HHZ,-0.07,18.17,22,02:55:28.86,0.025s,,,,,07:43:34.9,04:48:06\
M,Sg,0.01,,,42.4,SI,HEI,00.HHT,-0.62,18.17,22,02:55:31.47,0.1s,,,,,07:43:34.9,04:48:03\
M,Pg,1.05,,positive,45.7,SI,KAS,00.HHZ,-0.03,23.42,262,02:55:29.90,0.05s,,,,,07:43:34.9,04:48:05}
EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile,EndeFile